,Date,Open,High,Low,Close,Volume
2017-06-15 00:00:00,2017-06-15 00:00:00,2702.6,2798.9,2320.0,2432.9,139982991
2017-06-16 00:00:00,2017-06-16 00:00:00,2432.9,2501.3,2095.5,2410.7,179250376
2017-06-17 00:00:00,2017-06-17 00:00:00,2410.7,2518.6,2290.0,2471.0,83294972
2017-06-18 00:00:00,2017-06-18 00:00:00,2471.0,2678.1,2406.8,2626.3,67003395
2017-06-19 00:00:00,2017-06-19 00:00:00,2626.3,2677.1,2457.0,2525.0,76508816
2017-06-20 00:00:00,2017-06-20 00:00:00,2525.0,2600.8,2485.2,2598.8,42089739
2017-06-21 00:00:00,2017-06-21 00:00:00,2598.8,2802.5,2580.0,2736.8,62478121
2017-06-22 00:00:00,2017-06-22 00:00:00,2736.8,2788.9,2595.0,2652.7,85189260
2017-06-23 00:00:00,2017-06-23 00:00:00,2652.7,2730.0,2589.0,2699.9,38506589
2017-06-24 00:00:00,2017-06-24 00:00:00,2699.9,2744.1,2649.1,2678.9,30749419
2017-06-25 00:00:00,2017-06-25 00:00:00,2678.9,2717.9,2502.0,2559.5,66355372
2017-06-26 00:00:00,2017-06-26 00:00:00,2559.5,2635.2,2424.8,2507.9,68277139
2017-06-27 00:00:00,2017-06-27 00:00:00,2507.9,2549.0,2300.7,2420.1,111425810
2017-06-28 00:00:00,2017-06-28 00:00:00,2420.1,2549.0,2257.7,2541.6,104465173
2017-06-29 00:00:00,2017-06-29 00:00:00,2541.6,2594.5,2450.0,2558.3,58060738
2017-06-30 00:00:00,2017-06-30 00:00:00,2558.3,2600.2,2505.7,2532.7,45231684
2017-07-01 00:00:00,2017-07-01 00:00:00,2532.7,2556.4,2443.5,2453.4,38809769
2017-07-02 00:00:00,2017-07-02 00:00:00,2453.4,2497.4,2390.0,2422.7,47392832
2017-07-03 00:00:00,2017-07-03 00:00:00,2422.7,2533.9,2371.3,2510.2,41945870
2017-07-04 00:00:00,2017-07-04 00:00:00,2510.2,2599.7,2478.4,2540.5,43143932
2017-07-05 00:00:00,2017-07-05 00:00:00,2540.5,2638.9,2540.1,2602.2,40891823
2017-07-06 00:00:00,2017-07-06 00:00:00,2602.2,2626.3,2532.3,2603.2,31768789
2017-07-07 00:00:00,2017-07-07 00:00:00,2603.2,2618.7,2563.0,2603.8,21108431
2017-07-08 00:00:00,2017-07-08 00:00:00,2603.8,2608.0,2473.0,2505.1,47647945
2017-07-09 00:00:00,2017-07-09 00:00:00,2505.1,2558.0,2467.4,2554.4,36015348
2017-07-10 00:00:00,2017-07-10 00:00:00,2554.4,2565.7,2498.3,2506.5,26976481
2017-07-11 00:00:00,2017-07-11 00:00:00,2506.5,2521.9,2271.0,2335.2,94816230
2017-07-12 00:00:00,2017-07-12 00:00:00,2335.2,2397.8,2241.9,2304.8,81063826
2017-07-13 00:00:00,2017-07-13 00:00:00,2304.8,2408.4,2231.8,2386.8,79874625
2017-07-14 00:00:00,2017-07-14 00:00:00,2386.8,2421.0,2310.6,2338.1,42566065
2017-07-15 00:00:00,2017-07-15 00:00:00,2338.1,2354.8,2135.5,2208.4,85136385
2017-07-16 00:00:00,2017-07-16 00:00:00,2208.4,2221.5,1970.5,1974.0,136364277
2017-07-17 00:00:00,2017-07-17 00:00:00,1974.0,2047.2,1810.0,1924.5,155681818
2017-07-18 00:00:00,2017-07-18 00:00:00,1924.5,2226.4,1910.0,2223.5,121549945
2017-07-19 00:00:00,2017-07-19 00:00:00,2223.5,2387.0,2150.0,2303.0,156111878
2017-07-20 00:00:00,2017-07-20 00:00:00,2303.0,2398.9,2220.0,2262.1,121950935
2017-07-21 00:00:00,2017-07-21 00:00:00,2262.1,2959.2,2261.0,2883.1,272443483
2017-07-22 00:00:00,2017-07-22 00:00:00,2883.1,2888.0,2610.0,2666.0,200071318
2017-07-23 00:00:00,2017-07-23 00:00:00,2666.0,2906.0,2644.2,2833.2,157951704
2017-07-24 00:00:00,2017-07-24 00:00:00,2833.2,2866.3,2650.0,2752.8,140948241
2017-07-25 00:00:00,2017-07-25 00:00:00,2752.8,2817.0,2704.3,2764.4,91497864
2017-07-26 00:00:00,2017-07-26 00:00:00,2764.4,2788.4,2438.4,2559.6,229714016
2017-07-27 00:00:00,2017-07-27 00:00:00,2559.6,2609.9,2391.2,2530.2,156631568
2017-07-28 00:00:00,2017-07-28 00:00:00,2530.2,2685.1,2512.6,2662.3,104885818
2017-07-29 00:00:00,2017-07-29 00:00:00,2662.3,2828.0,2654.5,2782.0,142053965
2017-07-30 00:00:00,2017-07-30 00:00:00,2782.0,2784.7,2654.9,2692.5,111150377
2017-07-31 00:00:00,2017-07-31 00:00:00,2692.5,2747.0,2556.2,2730.4,86265869
2017-08-01 00:00:00,2017-08-01 00:00:00,2730.4,2891.0,2684.7,2851.1,101346941
2017-08-02 00:00:00,2017-08-02 00:00:00,2851.1,2913.1,2601.2,2730.1,173819218
2017-08-03 00:00:00,2017-08-03 00:00:00,2730.1,2766.6,2633.7,2706.9,81464944
2017-08-04 00:00:00,2017-08-04 00:00:00,2706.9,2805.8,2699.3,2787.7,51230643
2017-08-05 00:00:00,2017-08-05 00:00:00,2787.7,2875.1,2760.6,2854.9,73184795
2017-08-06 00:00:00,2017-08-06 00:00:00,2854.9,3341.6,2848.2,3257.8,249140638
2017-08-07 00:00:00,2017-08-07 00:00:00,3257.8,3305.0,3142.8,3221.8,134273847
2017-08-08 00:00:00,2017-08-08 00:00:00,3221.8,3442.0,3180.7,3395.0,135545546
2017-08-09 00:00:00,2017-08-09 00:00:00,3395.0,3486.7,3328.0,3422.1,180632515
2017-08-10 00:00:00,2017-08-10 00:00:00,3422.1,3430.2,3220.0,3341.2,159826371
2017-08-11 00:00:00,2017-08-11 00:00:00,3341.2,3443.9,3307.5,3412.2,89052947
2017-08-12 00:00:00,2017-08-12 00:00:00,3412.2,3718.6,3393.4,3651.8,145203168
2017-08-13 00:00:00,2017-08-13 00:00:00,3651.8,3987.6,3603.7,3874.4,264461491
2017-08-14 00:00:00,2017-08-14 00:00:00,3874.4,4215.1,3842.0,4077.9,375155723
2017-08-15 00:00:00,2017-08-15 00:00:00,4077.9,4353.0,3960.3,4328.5,269279921
2017-08-16 00:00:00,2017-08-16 00:00:00,4328.5,4440.0,3834.6,4158.1,430371309
2017-08-17 00:00:00,2017-08-17 00:00:00,4158.1,4415.0,3917.0,4402.3,274394106
2017-08-18 00:00:00,2017-08-18 00:00:00,4402.3,4498.0,4170.0,4278.3,316217204
2017-08-19 00:00:00,2017-08-19 00:00:00,4278.3,4368.3,3941.9,4101.1,254893872
2017-08-20 00:00:00,2017-08-20 00:00:00,4101.1,4183.0,3933.0,4131.1,195584503
2017-08-21 00:00:00,2017-08-21 00:00:00,4131.1,4164.0,4014.5,4049.4,134919363
2017-08-22 00:00:00,2017-08-22 00:00:00,4049.4,4087.4,3951.0,3998.1,120132287
2017-08-23 00:00:00,2017-08-23 00:00:00,3998.1,4187.3,3550.0,4101.6,278792647
2017-08-24 00:00:00,2017-08-24 00:00:00,4101.6,4259.9,4050.0,4138.0,157594985
2017-08-25 00:00:00,2017-08-25 00:00:00,4138.0,4368.0,4085.8,4318.6,119190593
2017-08-26 00:00:00,2017-08-26 00:00:00,4318.6,4472.6,4256.0,4357.4,147356392
2017-08-27 00:00:00,2017-08-27 00:00:00,4357.4,4371.3,4234.1,4334.9,96825214
2017-08-28 00:00:00,2017-08-28 00:00:00,4334.9,4414.0,4300.4,4341.9,71225308
2017-08-29 00:00:00,2017-08-29 00:00:00,4341.9,4413.3,4169.0,4390.8,123025429
2017-08-30 00:00:00,2017-08-30 00:00:00,4390.8,4709.9,4333.5,4591.8,175035270
2017-08-31 00:00:00,2017-08-31 00:00:00,4591.8,4666.5,4473.8,4569.2,116996988
2017-09-01 00:00:00,2017-09-01 00:00:00,4569.2,4769.0,4569.1,4723.9,140130707
2017-09-02 00:00:00,2017-09-02 00:00:00,4723.9,4944.5,4678.0,4944.5,183655347
2017-09-03 00:00:00,2017-09-03 00:00:00,4944.5,5013.3,4487.3,4633.1,407688486
2017-09-04 00:00:00,2017-09-04 00:00:00,4633.1,4742.2,4412.1,4624.2,223677242
2017-09-05 00:00:00,2017-09-05 00:00:00,4624.2,4630.0,4161.4,4339.9,388478483
2017-09-06 00:00:00,2017-09-06 00:00:00,4339.9,4505.0,4061.3,4427.0,307926743
2017-09-07 00:00:00,2017-09-07 00:00:00,4427.0,4662.9,4410.7,4608.2,184852439
2017-09-08 00:00:00,2017-09-08 00:00:00,4608.2,4678.0,4476.1,4613.9,152792191
2017-09-09 00:00:00,2017-09-09 00:00:00,4613.9,4689.7,4116.0,4317.9,417833219
